,Title,Artist,Lyrics
Only A Memory,Only A Memory,Icon For Hire,"I can't help but close my eyes for life
And dream a different ending
When I wake, I won't be so exhausted
And I'll stop with my pretending
That I'm fine, I'm fine if I can fool myself tonight
And my lie will drown out all of yours

I will not bend until I break
How much can one bruised body take?
Just not enough to silence me
You're only a memory
I'll scream these words till they come true
Then I will think no more of you
Look back on what I'm going through
This isn't my identity

You will bleed for what your hands have done
You can't outrun your ending
And I'll get well long before you let yourself
I may forgive you but you never will

I will not bend until I break
How much can one bruised body take?
Just not enough to silence me
You're only a memory
I'll scream these words till they come true
Then I will think no more of you
Look back on what I'm going through
This isn't my identity

And I told you, I told you, you had no right
How damaged you must be
Watch you panic, it's tragic, you'll carry this for life
You have my sympathy

I will not bend until I break
How much can one bruised body take?
Just not enough to silence me
You’'e only a memory
I'll scream these words till they come true
Then I will think no more of you
Look back on what I'm going through
This isn't my identity

You're only a memory, this isn't my identity
I will not bend, I will not break
This isn't my identity"
War,War,Icon For Hire,"You and I go deep like water
You and I run red like blood
You know my darkest secrets
I know what you're made of
Drip drop, the rain is falling
I hear it all could flood
One rainy night away
From losing all you love

It's a brilliant game you play
When you lock yourself away and
You make me fight for you, you, you

I can't keep you above water
I can't drag your soul to shore
Don't know how to fix a sinking ship
Or win a losing war
It's a heavy load to carry
And I can't hold on much more
On the surface, it looks perfect
Underneath, it's just a perfect storm

I've so much more to tell you
We're running out of time
It's dark and dangerous
Treading oceans in your mind
Up all night I held your hand
While you wondered in the dark
You know I can't make you better
When all you want to be is lost

It's a brilliant game you play
When you lock yourself away and
You make me fight for you, you, you

I can't keep you above water
I can't drag your soul to shore
Don't know how to fix a sinking ship
Or win a losing war
It's a heavy load to carry
And I can't hold on much more
On the surface, it looks perfect
Underneath, it's just a perfect storm

I can't survive for both of us
I can't hold back the waves
This ocean isn't big enough for both of us
I'll let the water carry me away
I’ll let the water carry me away

I can't keep you above water
I can't drag your soul to shore
Don't know how to fix a sinking ship
Or win a losing war
It's a heavy load to carry
And I can't hold on much more
On the surface, it looks perfect
Underneath, it's just a perfect storm
(I'll let the water carry me down)
(I'll let the water carry me down)
On the surface, it looks perfect
Underneath, it's just a perfect storm
(I'll let the water carry me down)
(I'll let the water carry me down)
On the surface, it looks perfect
Underneath, it's just a perfect storm"
Cynics & Critics,Cynics & Critics,Icon For Hire,"We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway

If you're happy and you know it clap your hands like this
Cause the rest of us are wondering what on earth we missed
If you're happy and you know it stomp your feet real loud
The rest of us could use some cheering up right now

Oh, please shoot us up
With something shiny and quick
We like our thrills dirt-cheap
And our irony thick
Oh, whatever, nevermind
We're just crying for help
I guess we'll heal the old-fashioned way
And do it ourselves

Oh, this is all we know
Oh, tragic and miserable
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway
Oh, this is all we've got
Oh, we do what we've been taught
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway

Sometimes I think we push your buttons just for fun
Sometimes I think our kind of crazy has already been done
We're a copy, of a copy, everything we swore we'd not be
Yea, the truth hurts, but it hasn't stung enough to stop me

Oh, please can't you give us
Something better than this
We've built up a tolerance
To all of your veteran tricks
You're busy smiling on cue
When you don't have a clue
We're a mess, and we know it
We want you to know too

Oh, this is all we know
Oh, tragic and miserable
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway
Oh, this is all we've got
Oh, we do what we've been taught
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway

If you're happy and you know it
Then there might be something wrong with you
What's the point in holding on
When all of us don't want you to?
It'd make us feel better
Knowing you'd be stuck forever
Sick minds stick together
We can stay sick forever

Oh, this is all we know
Oh, tragic and miserable
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all
Oh, this is all we know
Oh, tragic and miserable
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway
Oh, this is all we've got
Oh, we do what we've been taught
We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway

We're not cynics, we just don't believe a word you say
We're not critics, we just hate it all anyway"
Pulse,Pulse,Icon For Hire,"Do your thing but you oughta know we just make it up as we go
No point in stressing, we're not impressing them anymore
They're so scripted, they're so predictable, like oh-oh
Do your thing but you oughta know we just make it up as we go
No point in stressing, were not impressing them anymore
We've unscripted, now we do what we want, like oh-oh

Stuck us in boxes, that's where you want us
Cardboard is boring, we brought our matches
Stuff us in boxes that's where you want us
Cardboard is boring, look how it burns

Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?
Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?

Do your thing go numb it down, try to make them all love you now
You hold your breath like you're second guessing what you put out
Cross your heart and hope to dilute it down (like oh oh)
Do your thing, go live a lie, play it nice, go run and hide
Turn down the pulsing, the pulsing you know you feel inside
Till you burst and finally do what you want (like oh oh)

Stuck us in boxes, that's where you want us
Cardboard is boring, we brought our matches
Stuck us in boxes that's where you want us
Cardboard is boring, look how it burns

Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?
Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?

Oh-oh-oh
Woah-oh-oh

Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?
Tell me do you have a pulse?
Do you have a pulse?
Do you have a p-p-p-pulse?
Tell me, do you even know?
Do you even know?
Do you even k-k-k-know?"
Demons,Demons,Icon For Hire,"Ashes, ashes, dust to dust
It doesn’t hurt enough yet, does it, does it?
(I’m gonna make you feel it
Gonna make you want it)
Ashes, ashes, we all fall down
Half of you’s still underground
(I’m gonna make you feel it
Gonna make you want it.)
Don’t you want to feel something
In those heavy little veins of yours?
Clock’s ticking now, get your body off the floor
This is your addiction
So you can play the victim
But you can’t make me play along

Oh, fight back your demons
Don’t let them take you down, down
Oh, scream like you mean it
Make me believe you now, now

Ashes, ashes in the air
Remains of dead dreams everywhere
(I’m gonna make you feel it
I'm gonna make you want it)
Ashes, ashes, could be you
But you’re still beating, aren’t you?
(I’m gonna make you feel it
I'm gonna make you want it)
Aren’t you gonna do something with that pretty little heart of yours?
Get up, move, get your body off the floor
This world is twisted
It’s the human condition
But you don’t have to play along

Pain didn’t change me
I changed my pain
Pain didn’t change me
I changed my pain

Oh, fight back your demons
Don’t let them take you down, down
Oh, scream like you mean it
Make me believe you now, now

You didn’t come this far to just get this far
(You didn’t come this far to just get this far)
You didn’t come this far to just get this far
(You didn’t come this far to just get this far)
You didn’t come this far to just get this far
(You didn’t come this far to just get this far)
You didn’t come this far to just get this far
(You didn’t come this far to just get this far)
You didn’t come this far to just get this far
You didn’t shoot for the moon just to hit the stars
You didn’t work this hard just to fade to black
It cuts me in half to see you hold back
And you’ll know when you’re lost ‘cause I won’t let you sleep through the night
I won’t let you sleep through the night
I promise you I’ll be here screaming at you
Baby fight, baby fight, baby fight!

Oh, fight back your demons
Don’t let them take you down, down
Oh, scream like you mean it
Make me believe you now, now

Oh, fight back your demons
Don’t let them take you down, down
Oh, scream like you mean it
Make me believe you now, now"
Curse or Cure,Curse or Cure,Icon For Hire,"Oh I swear my emotions are the enemy
Be dead by now if I'd have done what they were telling me
Whisper lies but they sound like half-truth
Confusing a sick mind isn't that hard to do

You say I'm a hopeless case, I'm a hopeless case (Ohoho)
You say I'm a hopeless case, I'm a hopeless case (Oh)

I'm afraid I can't trust myself, myself
Don't leave me alone
How you want me to fix myself, myself
All I've ever know, I've ever know
How can I separate, me from the remedy?
I can't be sure, be sure
Am I the curse or the cure?

Oh it's more than a little maddening
Got me second-guessing everything that's happening
I think I think I'm in over my head
The more I think about it, the worse that it gets

You say I'm a hopeless case, I'm a hopeless case (Ohoho)
You say I'm a hopeless case, I'm a hopeless case

I'm afraid I can't trust myself, myself
Don't leave me alone
How you want me to fix myself, myself
All I've ever know, I've ever know
How can I separate, me from the remedy?
I can't be sure, be sure
Am I the curse or the cure?

All I see are all my flaws
I see it's all I'm not
I'm not senseless
I won't separate this heart to
Make it what you want
You can't tell me any more
(Curse or Cure)

I'm afraid I can't trust myself, myself
Don't leave me alone
How you want me to fix myself, myself
All I've ever know, I've ever know
How can I separate, me from the remedy?
I can't be sure, be sure
Am I the curse or the cure? (Ohoho)
Am I the curse or the cure? (Ohoho)
Am I the curse or the cure?"
You Can’t Kill Us,You Can’t Kill Us,Icon For Hire,"I swear to God at night when I close my eyes
I can still see this little lost girl inside
And I don't know how to help her, I don't know what to do
Supposed to have this figured out but I'm so confused
For years I cried myself to sleep every night
Lived one day at a time, trying to just stay alive
And I knew people had it worse, but that didn't make me better
Took all I had inside just to hold myself together
But I knew I couldn't stop, kept hoping one day
Maybe I'd make it to a stage and tell you 'it's all okay.'
And that 'I love you. Even if I haven't met you yet
Hold on, stay strong and never forget.'

We've been lost, been to the bottom
Beaten up, torn and forgotten
Still we fight, we will survive
Can't kill the fire we feel inside
We've been burned, chained and depleted
Left alone, we're not defeated
Still we fight, we will survive
Can't kill the fire we feel inside

You can't, you can't kill us
You can't, you can't kill us

Everyday I felt a little less pain inside
But at that rate I knew I'd hurt until the day I died
I refused to let the darkness, have the last say
So when it came to call my name, I had to run the other way
Maybe that's what it takes, you have to tell the pain no
Have to let the sick parts of your heart finally go
Make room for the light, let it pull you in close
And if you're ever feeling low, I think you know where to go

We've been lost, been to the bottom
Beaten up, torn and forgotten
Still we fight, we will survive
Can't kill the fire we feel inside
We've been burned, chained and depleted
Left alone, we're not defeated
Still we fight, we will survive
Can't kill the fire we feel inside

You can't, you can't kill us
You can't, you can't kill us

One day we're gonna wake up, we're gonna be alright
We'll look back and be happy that we kept ourselves alive
We'll honor where we came from, see what the hurt was for
But we don't let our past hold us hostage anymore
Cause we got more to give, more to live, more to be
More to who we are than our broken history
Like an army we all know it's not all better yet
But we hold on, stay strong, and never forget
You can't, you can't kill us
You can't, you can't kill us

We've been lost, been to the bottom
Beaten up, torn and forgotten
Still we fight, we will survive
Can't kill the fire we feel inside
We've been burned, chained and depleted
Left alone, we're not defeated
Still we fight, we will survive
Can't kill the fire we feel inside

You can't, you can't kill us
You can't, you can't kill us
You can't, you can't kill us
You can't, you can't kill us"
Theatre,Theatre,Icon For Hire,"My life is a musical
I know how to put on a pretty pathetic show
I hide backstage
Keep the curtains closed
'Cause I'm scared, I'm scared

I'm getting pretty good at feeding them the lines they like
But I don't recognize the girl that I face each night
I can compromise till I'm convinced
It's right

What happened to the girl who could overlook the world?
She never gave a second thought to what the other people thought
What happened to the dream of rejecting the routine?
'Cause they never worked for me

I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script and scream every line like
""This is it!""

They say all the world's a stage
Rewriting your identity is all the rage
Well next act please, I'd like a change
I don't really like pretending
This way

What happened to the girl who could overlook the world?
She never gave a second thought to what the other people thought
What happened to the dream of rejecting the routine?
'Cause they never worked for me

I'm gonna burn this theater down and pray to God for the strength to help me face the crowd
I wanna live like I lost the script and scream every line
Like, ""this is it!""
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script and scream every line
Like, ""this is it!""

And the sad thing is we're all in on the action
We're all holding our breath, waiting for a reaction
You play your part
I'll be playing with matches
And if you'd like a show, you can follow the ashes

I'm gonna burn this theatre down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script and scream every line like
""This is it!""
I'm gonna burn this theatre down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script and scream every line like...
""This is it!"""
Nerves,Nerves,Icon For Hire,"I have a heart that gets on everybody's nerves
They don't want the truth, they just want the words
And blah, bla-blah, bla-blah, and I can sing until I'm dead
And none of you'll remember a single thing I've said

What's the point in being a voice
When everyone's already sick of the noise?
Everyone's already sick of the noise
Everyone's already sick of the noise
What's the point in trying to change
When everyone's already stuck in their ways
Everyone's happy with more of the same
More of the same, more of the same

We were born kicking and screaming
Till we learned to turn it down

Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong
Live a slow and painful life
Put our heart on hold inside, fade on
And all along we go it wrong
We keep it hush, hush, hush
Have you had enough?
Have you, have you had enough?
Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong
I have a heart that gets on everybody's nerves
They don't want the truth, they just want the words

Oh I hate your static pace, you ask no questions, let things be
All you people never learn, and your heart gets on my nerves
And your heart gets on my nerves
And your heart gets on my nerves

We were born kicking and screaming
Till we learned to turn it down

Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong
Live a slow and painful life
Put our heart on hold inside, fade on
And all along we go it wrong
We keep it hush, hush, hush
Have you had enough?
Have you, have you had enough?
Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong

But no one listens, 'cause no one cares
If you're alive at all, let me see you stare
But no one listens, 'cause no one cares
If you're alive at all, let me see you stare
I have a heart that gets on everybody's nerves
They don't want the truth, they just want the words
I have a heart that gets on everybody's nerves
They don't want the truth, they just want the words

Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong
Live a slow and painful life
Put our heart on hold inside, fade on
And all along we go it wrong
We keep it hush, hush, hush
Have you had enough?
Have you, have you had enough?
Took our dreams and got in line
Held our breath and hoped to die, fade on
And all along we got it wrong

Oh, we keep it hush, hush, hush"
Rock And Roll Thugs,Rock And Roll Thugs,Icon For Hire,"The music is in my blood, you don't understand
The music is in my blood, you don't understand

Sleepless nights at the black and white keys
I'll let my fingers say it for me
Sometimes my spirit's still so scared
Once I put it in a melody it means so much more to me
Fate sealed, I guess this is how I feel
Sometimes I swear the lyrics write me
The lyrics write me

The melody, a remedy to calm me down
You never did approve of the fix I found

Bury all the records in the backyard
When you're not looking I'll go dig them back up
You can bury my body in the backyard
When you're not looking I'll go dig myself up
And I know all about the drugs they hide inside the music, I know, I know
I know all about the drugs they hide inside the music

And the preacher at church must've told you about them too
Cause you came home dead set on what you had to do
You said the demons and drugs hide in rock n roll thugs
If I wanna grow up nice, I better give the music up

The melody a remedy to keep me right
You never did approve of my sleepless nights

Bury all the records in the backyard
When you're not looking I'll go dig them back up
You can bury my body in the backyard
When you're not looking I'll go dig myself up
And I know all about the drugs they hide inside the music, I know, I know
I know all about the drugs they hide inside the music

Oh the words unwind, my hands rebel
I hide behind these notes too well
I can't pretend anymore
You're not listening, you don't understand
You're not listening, you don't understand
You're not listening, you don't understand
You're not listening, you don't understand

Bury all the records in the backyard
When you're not looking I'll go dig them back up
You can bury my body in the backyard
When you're not looking I'll go dig myself up

Bury all the records in the backyard
When you're not looking I'll go dig them back up
You can bury my body in the backyard
When you're not looking I'll go dig myself up
And I know all about the drugs they hide inside the music, I know, I know
I know all about the drugs they hide inside the music"
Up In Flames,Up In Flames,Icon For Hire,"I don't want to say what I've got on my mind
'Cause nothing tonight wants to come out on time
The truth is I'd rather sit out and unwind
Let somebody else tell their story this time
I wonder what happened to give me the right
To step on a platform and pick up a mic
And tell you the way to be living your life
'Cause all my credentials were lies

You've had your say
Now take your seat
I know my place
You don't know me

I'll probably end up in flames
Before the end of the night
Watch me burn in the fire
Watch me bid you good-bye
Your words, they fall off the page
Like they fall on deaf ears
You know that it's over
Nothing left for you here
(Nothing left for you here)

I waited too long letting people like you
Tell me what they want, and what I shouldn't do
So mark me with words but you can't tie my hands
There's nothing I'll say to make you understand
I know who I am, I know where I'll end up
In flames and that's fine, 'cause I'm finally fed up
Stick with what I started, don't care how it hurts
The loudest get shot at the worst

You've had your say
Now take your seat
I know my place
You don't know me

I'll probably end up in flames
Before the end of the night
Watch me burn in the fire
Watch me bid you good-bye
Your words, they fall off the page
Like they fall on deaf ears
You know that it's over
Nothing left for you here
(Nothing left for you here)

You know I'll never fold like you're the authority
I won't throw my hands up like you're the authority
You know I'll never fold like you're the authority
I won't throw my hands up like you're the authority

I'll probably end up in flames
Before the end of the night
Watch me burn in the fire
Watch me bid you good-bye
Your words, they fall off the page
Like they fall on deaf ears
You know that it's over
Nothing left for you here
(Nothing left for you here)
I'll probably end up in flames
Before the end of the night
Watch me burn in the fire
Watch me bid you good-bye
Your words, they fall off the page
Like they fall on deaf ears
You know that it's over
Nothing left for you here
(Nothing left for you here)"
Too Loud,Too Loud,Icon For Hire,"Hey girl, don’t listen to your mother when she tells you you ain’t pretty
Need to look more like the others
Hey boy, don’t let your daddy tell you if you don’t get it together
That you’re gonna be a failure

Let’s stop letting everyone tell us how to feel
Tell us how to dream
Let’s stop letting everyone tell us how to live
Tell us who to be

Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?
Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?

Let’s stop letting everyone tell us how to feel
Tell us how to dream
Let’s stop letting everyone tell us how to live
Tell us who to be

You know they’re coming for your fire
When they try to push you lower but you keep on going higher
You’re a flame, and they all wanna water you down
Wanna water you down down

Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?
Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?

Gonna make you listen
Gonna make you move
You can’t ignore the truth inside you
Gonna make you listen
Gonna make you move
You can’t ignore the truth inside you

Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?
Oh no no am I getting too loud?
Am I getting too loud?
Am I getting too loud?
Oh no no am I getting in your head?
Am I getting in your head?
Getting in your head?"
Fight,Fight,Icon For Hire,"I don’t know how I got here but I refuse to stay
I betrayed myself when I let others have their way
But I am holding on, my finger on the pulse
The sound of my heart pounding tells me there’s still hope

But people don’t like when you put up a fight
And slowly, ever so slowly, I am loosing mine

I’ll fight (fight), fight (fight), fight or be taken out alive
(Fight) fight (fight) nowhere to run, nowhere to hide
Standing on the edge, am I better off dead?
How could I forget that I’m better than this?
I’ve come too far to fade tonight
Fight, or be taken out alive

My thoughts are racing faster than my body can react
The danger doesn’t register, the fear feels like an act
Don’t pull the plug, I swear this isn’t how I want to go
The sound of my heart pounding tells me there’s still hope

But people don’t like when you put up a fight. And slowly, ever so slowly, I am loosing mine

I’ll fight (fight), fight (fight), fight or be taken out alive
(Fight) fight (fight) nowhere to run, nowhere to hide
Standing on the edge, am I better off dead?
How could I forget that I’m better than this?
I’ve come too far to fade tonight
Fight, or be taken out alive

I’ve survived on life support but I’m stronger than I give myself credit for. These conditions only cure when we prepare ourselves for war.
 

I’ll fight (fight), fight (fight), fight or be taken out alive
(Fight) fight (fight) nowhere to run, nowhere to hide
Standing on the edge, am I better off dead?
How could I forget that I’m better than this?
I’ve come too far to fade tonight
Fight, or be taken out alive"
Sugar And Spice,Sugar And Spice,Icon For Hire,"I don't want your sugar and spice, sugar and spice
I don't want your sugar and spice, sugar and spice

Sometimes I say really dumb things
Cause it's hard to talk and at the same time think
At the same time, I feel like I should have that down
I should've figured out the conversation by now
There's a lot of time wasted hating the way I act
Social skills I'm not sure I have
The list of what's wrong runs way too long
And I had no idea 'til you came along

Over and over
Track on repeat
There's something wrong with me
There's something wrong with me
Got me, they got me, they got me hooked so good
High fructose Hollywood

I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night
I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night

I'm not stressing, obsessing over who I'm not impressing
I know perfection's infectious or is it more like infection
It gets under your skin because you know I'm ignoring you
Wouldn't you rather be broken than boring too?

Over and over
Track on repeat
There's something wrong with me
There's something wrong with me
Got me, they got me, they got me hooked so good
High fructose Hollywood

I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night
I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night

Over and over
Track on repeat
There's something wrong with me
There's something wrong with me

I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night
I don't want your sugar and spice, sugar and spice
Sugar and spice and everything nice
I poured down the drain of my life last night

Over and over
Track on repeat
There's something wrong with me
There's something wrong with me
Over and over (over and over)
Track on repeat (track on repeat)
There's something wrong with me (There's something)
There's something wrong with me (there's something)
Over and over
Track on repeat (track on repeat)
There's something wrong with me
There's something wrong with me (theres something wrong)"
The Magic,The Magic,Icon For Hire,"My seams are breaking
It’s not as fun as it sounds
I’ve got a whole world inside me
Begging to come out
I'm tired of waking
Only to numb back down
Playing hide and seek with all my dreams
They’ll never find me now

Imagine the magic that might be under the madness
Between the mundane automatic and silicone sadness
Oh can you imagine the magic?
Imagine the magic that might be under the madness
Between the mundane automatic and silicone sadness
Tragic, can you imagine the magic?

When you close your eyes
Somewhere are you still alive
Or do you feel, do you feel like you’re dead inside?
When you close your eyes
Somehow does your heart still beat
Or are you lost like me?
When you close your eyes
Can you imagine the magic that might be under the madness?
Can you imagine the magic that might be under the madness?

What if I'm empty
What if there’s nothing left
Don’t want to know the answer
Would rather stay here anyway
So I pretend like it’s all I got
While the hurricane inside my skin threatens that it’s not

Imagine the magic that might be under the madness
Between the mundane automatic and silicone sadness
Tragic, can you imagine the magic?

When you close your eyes
Somewhere are you still alive
Or do you feel, do you feel like you’re dead inside?
When you close your eyes
Somehow does your heart still beat
Or are you lost like me?
When you close your eyes
Can you imagine the magic that might be under the madness?
Can you imagine the magic that might be under the madness?

Bigger than you even know
Brighter than you're letting on
Youdon’t like to let it show
Can’t hold back forever though
Can’t hold back forever, though
Bigger than we even know
Brighter than we're letting on
We don’t like to let it show
Can’t hold back forever though
Can’t hold back forever, though

When you close your eyes
Somewhere are you still alive
Or do you feel, do you feel like you’re dead inside?
When you close your eyes
Somehow does your heart still beat?
Or are you lost like me?
When you close your eyes
Can you imagine the magic that might be under the madness?
Can you imagine the magic that might be under the madness?"
