,Title,Artist,Lyrics
Pieces,Pieces,Icon For Hire,"You're not running just enough of a wreck
To hold the hurt heart everybody expects
And I know you wrote a history of making a mess
Misunderstood's an understatement at best

How long, how long
Will you demand my sympathy?
We all know hurt
So why do you feel the need to

Put on a pretty face, give them a pretty taste
No one's buying it anyway

You're so tired trying to rewind
The mess you've made of your own mind
But the pieces won't pick up themselves, you know?
You can fight just like you've been taught
It won't undo the life you've got
Cause the pieces won't pick up themselves, you know

You're not running just enough of a wreck
To hold the hurt heart everybody expects
And I know you wrote a history of making a mess
Misunderstood's an understatement at best

You say you try, you're after something better
It doesn't show, you're still not put together

Put on a pretty face, give them a pretty taste
No one's buying it anyway

You're so tired trying to rewind
The mess you've made of your own mind
But the pieces won't pick up themselves, you know
You can fight just like you've been taught
It won't undo the life you've got
'Cause the pieces won't pick up themselves, you know

Everybody knows liars never make it for long
I am getting close, I can see just what's going on
Everybody knows, everybody knows, (whoa)
I remember what you were before you gave it away
You've never been the type
To watch the pieces fall where they may
And now you've let it go
But I know you know, whoa
Now the pieces won't pick up themselves, you know

You're so tired trying to rewind
The mess you've made of your own mind
But the pieces won't pick up themselves, you know
You can fight just like you've been taught
It won't undo the life you've got
'Cause the pieces won't pick up themselves, you know
You're so tired trying to rewind
The mess you've made of your own mind
But the pieces won't pick up themselves, you know
You can fight just like you've been taught
It won't undo the life you've got
'Cause the pieces won't pick up themselves, you know"
Bam Bam Pop,Bam Bam Pop,Icon For Hire,"We want that bam bam pop

Overkill like we do it for a living
We'll make history before we ever make a million
Move it, sucka, throw it down
Bring it back, you know that sound
Icon coming, common sense
Nothing wrong with a little bit of confidence
You tell 'em all what we're about
We're selling out, we're selling out
Stings the beginning then it all goes numb
I catch comas just for fun
When I'm done, we all go free
Make room for hers in history
Icon coming, did you hear?
We lost our minds again this year
Mindless music make it loud
We're selling out, we're selling out

We know what to do
We know what to do
We know what to do
You ready?

Bam bam pop pop, I like this a lot, lot
Turn it up, here we go, we wreck the radio
Boom boom, get your fix, give it to you just like this
Make your heart stop, we want that bam bam pop
Whoa, whoa, whoa
We want that bam bam pop
Whoa, whoa, whoa
We want that bam bam pop

Everybody here still half alive?
Anybody else can't sleep at night?
I know I'm not the only one going crazy
Same white noise on me daily save me
Maybe I don't want to turn it up
Maybe I want to turn it off when I've had enough
Maybe all your tricks won't fix me
This sick beat just makes me sick
Ready?

Bam bam pop pop, I like this a lot, lot
Turn it up, here we go, we wreck the radio
Boom boom, get your fix, give it to you just like this
Make your heart stop, we want that bam bam pop
Whoa, whoa, whoa
We want that bam bam pop
Whoa, whoa, whoa
We want that bam bam pop

I raise my fist just like this, just like this

Bam bam pop pop, I like this a lot, lot
Turn it up, here we go, we wreck the radio
Boom boom, get your fix, give it to you just like this
Make your heart stop, we want that bam bam pop

Bam bam pop pop, I like this a lot, lot
Turn it up, here we go, we wreck the radio
Boom boom, get your fix, give it to you just like this
Make your heart stop, we want that bam bam pop

Bam bam pop pop, I like this a lot, lot
Turn it up, here we go, we wreck the radio
Boom boom, get your fix, give it to you just like this
Make your heart stop, we want that bam bam pop"
Think I’m Sick,Think I’m Sick,Icon For Hire,"I'm sick, I think I'm sick
Sometimes I think I get like this
I bite my tongue, I clench my fists
Resist at first and then reverse
The night knows me by name
Its shadow trained to dull the pain
All the black begins to blur
Resist at first and then immerse
I'm sick, I think I'm sick
Sometimes I think I get like this
I bite my tongue, I clench my fists
Resist at first and then reverse
The night knows me by name
Its shadow trained to dull the pain
And all the black begins to blur
Resist at first and then immerse
I'm sick, I think I'm sick

It tires me, it makes me sad
To think of all the nights I've had
Eyes shut tightly, I shut down
Won't be that much longer now
In the quiet, in the dark
All my ideals fall apart
When they come for me again
Resist with everything I am

It tires me, it makes me sad
Think of all the nights I've had
Eyes shut tightly, I shut down
It won't be that much longer now

I'm sick, I think I'm sick
Sometimes I think I get like this
I bite my tongue, I clench my fists
Resist at first and then reverse
Life's a war, you pick your fight
I think mine picks me first most nights
If I should wake before I die
Then promise me you'll never get this sick inside
I'm sick, I think I'm sick
I'm sick, I think I'm sick

Can't undo a word I said
Years of struggle still ahead
All the trouble in my head
I wish I were good instead
Can't undo a word I said
Years of struggle still ahead
All the trouble in my head
I wish I were good instead

I'm sick, I think I'm sick
Sometimes I think I get like this
I bite my tongue, I clench my fists
Resist at first and then reverse
My adversary knows me well
She's out for blood, too soon to tell
If I'll outsmart these lies of hell
And think my sick self back to health
I'm sick, I think I'm sick
I'm sick, I think I'm sick"
You Were Wrong,You Were Wrong,Icon For Hire,"You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong

Oh oh, oh oh oh, oh oh, oh oh oh
I thought we were one and the same
Us against them and their dumb little game
Well I guess I got played, head in the sand and my heart on stage
Missed it, oh so twisted, going to my grave all up tight fisted
Never mind I'm gonna be fine, too much on the line to sit and cry

Oh oh oh, like don’t you think I know
This is not the end of me, this is not the end of me
Oh oh oh, like don’t think you I know
This is not the end of me, this is not the end of me

You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
Try to break me, try to break me
Make me
Oh oh, oh oh oh, oh oh, oh oh oh

I don’t really know what to say
Trying to keep track but everything’s changing
And ain't it strange, you and me thought we’d be keeping the world in flames
But all we did was burn it all down
Burn it all down
Burn it all down

Oh oh oh, like don’t you think I know
This is not the end of me, this is not the end of me
Oh oh oh, like don’t think you I know
This is not the end of me, this is not the end of me

You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
Try to break me, try to break me
Make me
I don’t go down easy
I don’t bow out quiet
I never lost a war
Unless I didn’t fight it
I don’t go down easy
I don’t bow out quiet
I never lost a war
Unless I didn’t fight it

Pick my brain
Pick your poison
If I’m to blame then I ain't the only one
If I’m on the offense well I’m not sorry
You haven’t exactly given me reasons regarding
The way that you snap me in half, the way you stab me in the back
The way that you front to my face and keep putting me in place
But I ain't under your thumb, I ain't stuck in your shadow
I’m on top of the world up here fighting my battles
And I shoot to kill
I play to win and baby I will

You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
You were wrong all along, tried to break me make me strong
Try to break me, try to break me
I don’t go down easy
I don’t bow out quiet
I never lost a war
Unless I didn’t fight it
I don’t go down easy
I don’t bow out quiet
I never lost a war
Unless I didn’t fight it
Oh, oh"
Watch Me,Watch Me,Icon For Hire,"Watch me get it get it wrong at the top of my lungs
While you front for every one, while you tip toe for fun
I can scream until your ears bleed, you're gonna never hear me
You hear what you want, but you never wanted me
Watch me get it get it wrong at the top of my lungs
While you front for every one, while you tip toe for fun
I can scream until your ears bleed, you're gonna never hear me
You hear what you want, but you never wanted me

Careful, you don't wanna mess up, do you?
Fake brave face, I see right through you
Standing in place 'cause
Denial is the way to go, at least that's what you told me, so
Cover you ears when you don't wanna know
For whatever you hear you're held responsible

Are you scared you might open your mouth
And feel the horror if nothing comes out?
Do you think you're safe, frozen in place?
Run for cover just in case

I am not afraid to fall
You can watch me lose it all
I'll get it wrong, 'til I get it right
At least I'm making scenes in the meantime

Watch me, watch me
Watch me get it get it wrong at the top of my lungs
While you front for every one, while you tip toe for fun
I can scream until your ears bleed, you're gonna never hear me
You hear what you want, but you never wanted me

All eyes on you, we're watching you
It's too bad you're too stuck to move
Too bad you wouldn't know what to do
If the right thing walked right up to you
It's none steps forward, none steps back
No harm, no foul, you play like that?
Your game sucks, you need a new one
Your game sucks, make a new one up
Up the ante, up the drive
Slow down - is this how you feel inside?
Torn in the middle like you can't decide
Can't step up to save your life
I'm calling it, you're full of shhh
More scared to make noise than you care to admit

Are you scared you might open your mouth
And feel the horror if nothing comes out?
Do you think you're safe, frozen in place?
Run for cover just in case

I am not afraid to fall
You can watch me lose it all
I'll get it wrong, 'til I get it right
At least I'm making scenes in the meantime
I am not afraid to fall
You can watch me lose it all
I'll get it wrong, 'til I get it right
At least I'm making scenes in the meantime

Watch me, watch me

No time left to play it safe, no time to bend
The worst mistake you'll ever make is trying to blend
No time left to play it safe, no time to bend
The worst mistake you'll ever make is trying to blend

Are you scared you might open your mouth
And feel the horror if nothing comes out?
Do you think you're safe, frozen in place?
Run for cover just in case

I am not afraid to fall
You can watch me lose it all
I'll get it wrong, 'til I get it right
At least I'm making scenes in the meantime
I am not afraid to fall
You can watch me lose it all
I'll get it wrong, 'til I get it right
At least I'm making scenes in the meantime

Watch me
Watch me get it get it wrong at the top of my lungs
While you front for every one, while you tip toe for fun
I can scream until your ears bleed, you're gonna never hear me
You hear what you want, but you never wanted me"
Pop Culture,Pop Culture,Icon For Hire,"And the beat goes on, drone drone like a metronome
Day in and day out I know how the story gonna go
Typical, typical, tongue tied and weak willed
Stuck on the sedative, evidently to sleep well

But I haven't slept in days, I haven't dreamt in nights
I've been busy building theories I just can't wait to try
See, I think the beat's made to drown out the sound of the boom boom
While they shoot our last hope down

Pop culture does nothing for me
The American dream mainstream just bores me
Cause I'm not like you, I'm immune, I'm immune
Say it over and over until it comes true
Pop culture does nothing for me
The American dream mainstream just bores me
And we all act like we see right through it
When we all know we're addicted to it

And the beat goes on, drone drone like a metronome
Day in and day out I know how the story gonna go
And the beat goes on, drone drone like a metronome
Day in and day out I know how the story gonna go

Check out them men in suits, they're working overtime
Memorizing what you buy, analyzing what you like
I think the beat's made to clash and distract while they cha ching
Try and buy our loyalties back

Pop culture does nothing for me
The American dream mainstream just bores me
Cause I'm not like you, I'm immune, I'm immune
Say it over and over until it comes true
Pop culture does nothing for me
The American dream mainstream just bores me
And we all act like we see right through it
When we all know we're addicted to it

Counting down the minutes 'til my heartbeat stops
Fooling myself is a full-time job
Counting down the minutes 'til my heartbeat stops
Fooling myself is a full-time job
Counting down the minutes 'til my heartbeat stops
Fooling myself is a full-time job

Pop culture does nothing for me
The American dream mainstream just bores me
Cause I'm not like you, I'm immune, I'm immune
Say it over and over until it comes true
Pop culture does nothing for me
The American dream mainstream just bores me
And we all act like we see right through it
When we all know we're addicted to it

Counting down the minutes 'til my heartbeat stops
Fooling myself is a full-time job
Pop culture does nothing for me
The American dream mainstream just bores me"
Counting on Hearts,Counting on Hearts,Icon For Hire,"I'm counting on hearts like yours to keep me burning
To keep me up 'til two in the morning
You be bright when I'm starting to rust
You be why behind the what
I'm counting on hearts like yours to help remind me
Keep ignoring the white noise behind me
Don't ever let them water me down
I'm counting, I'm counting on you now

Oh I remember that feeling, I must be dreaming

Am I just wasting our time?
Feel like I'm feeding you lines
Nothing left to say
Losing fire and growing tired, uninspired
But I will never let go
Never let up my hold
Cause I know
Once you feel it you can't unfeel it
Once you dream it you can't undream it

I'm counting on hearts like yours to keep me crazy
To rough me up 'til nothing can phase me
Will you tell me when it isn't enough?
And never let me live halfway
I'm counting on hearts like yours to get me through it
I'm a fighter now let me prove it
Don't ever let me water it down
I'm counting, I'm counting on you now

Oh I remember that feeling, I must be dreaming

Am I just wasting our time?
Feel like I'm feeding you lines
Nothing left to say
Losing fire and growing tired, uninspired
But I will never let go
Never let up my hold
Cause I know
Once you feel it you can't unfeel it
Once you dream it you can't undream it

Some things are not as they seem
Holding on tight to yesterday's dream
Some things are worth fighting for
All we need are hearts like yours
Some things are not as they seem
Holding on tight to yesterday's dream
Some things are worth fighting for
All we need are hearts like yours

Am I just wasting our time?
Feel like I'm feeding you lines
Nothing left to say
Losing fire and growing tired, uninspired
But I will never let go
Never let up my hold
Cause I know
Once you feel it you can't unfeel it
Once you dream it you can't undream it

Am I just wasting our time?
Feel like I'm feeding you lines
Nothing left to say
Losing fire and growing tired, uninspired
But I will never let go
Never let up my hold
Cause I know
Once you feel it you can't unfeel it
Once you dream it you can't undream it"
Invincible,Invincible,Icon For Hire,"I am, I'm invincible
I am, I'm invincible
You ain't seen nothing yet

In the dark, in the mess
All my life, i have been
Folded up, holding back
Don't know how, we live like that
From the flame, i emerge
With the strength, i have earned

I belong to the night
But I learned to survive
I know i gotta fight the feeling inside

I am, I'm invincible
Uh uh, unkillable
I am, I'm invincible
You ain't seen nothing yet

You ain't seen nothing yet
You ain't seen nothing yet

When the dark, comes for me
I won't run, I will scream
I'm stronger than i used to be oh

I belong to the night
But I learned to survive
I know i gotta fight the feeling inside

I am, I'm invincible
Uh uh, unkillable
I am, I'm invincible
You ain't seen nothing yet

You ain't seen nothing yet
You ain't seen nothing yet

I don't throw out nice words
To make me feel better about what I've endured
You better believe I'm not that naive
You cut me up yeah, you bet I'll bleed
So invincible, maybe not quite true
I keep saying it to it gets through
Till I start acting like I can do
Whatever the heck I put my mind too
You live like you're invisible
Dont you wanna be Invincible

I am, I'm invincible
Uh uh, unkillable
I am, I'm invincible
You ain't seen nothing yet
You ain't seen nothing yet"
Blindside (Bonus Track),Blindside (Bonus Track),Icon For Hire,"I've been underestimated my whole life
Can play it on the quiet side, but I’m not shy
Maybe I’m the flower painted on the wall
Maybe I’m the number that you never call

I’ve been waiting in the shadows way too long
Saving up my punches while I bite my tongue
I’m about to strike, gonna leave a mark
Take a seat, the show’s about to start

You won’t see me coming, but you’re gonna know
When I show up, show up
Gonna make your head spin, make you listen
Yeah, you will know my name
From the shadow to the spotlight
From the background to the frontlines
I’m a fire ‘bout to ignite, out of nowhere
Gonna hit you, gonna hit you in your blindside
Gonna hit you, gonna hit you in your blindside
Gonna hit you, gonna hit you

Feeling like a viper, finally shed my skin
Bet you didn’t know I had it from the outside in
Counting down the hours, careful where you are
Watch your back, the show’s about to start

You won’t see me coming, but you’re gonna know
When I show up, show up
Gonna make your head spin, make you listen
Yeah, you will know my name
From the shadow to the spotlight
From the background to the frontlines
I’m a fire ‘bout to ignite, out of nowhere
Gonna hit you, gonna hit you in your blindside
Gonna hit you, gonna hit you in your blindside
Gonna hit you, gonna hit you

Blindside, in your blindside
You’ll never know what’s coming ‘til it hits you
In your blindside, in your blindside
You’ll never know what’s coming ‘til it hits you
In your blindside, in your blindside
You’ll never know what’s coming ‘til it hits you
In your blindside, in your blindside
You’ll never know, you’ll never know, never know

You won’t see me coming, but you’re gonna know
When I show up, show up
Gonna make your head spin, make you listen
Yeah, you will know my name
From the shadow to the spotlight
From the background to the frontlines
I’m a fire ‘bout to ignite, out of nowhere
Gonna hit you, gonna hit you in your blindside
(Gonna hit you, gonna hit you)
Gonna hit you in your blindside
(Gonna hit you, gonna hit you)
In your blindside"
Fix Me,Fix Me,Icon For Hire,"Another day, another waste of my heart
It only beats when it wants to
Another step, and I've learned to hold my breath
Still scared to want you

I'll be the mess, you be the medicine
I'll be the mess, you play the medicine

Why don't you fix me?
I can't help myself
Why don't you fix me?
You know I'm fading still

I have tried to be better inside
We both know how it kills
I've tried to heal myself so many times
But we both know that I'm still ill

I'll be the mess, you be the medicine
I'll be the mess, you play the medicine

Why don't you fix me?
I can't help myself
Why don't you fix me?
You know I'm fading still
Why don't you fix me?
I can't help myself
Why don't you fix me?
Oh I'm fading still

And you know how I try, fight to survive
My hands are bloody from holding myself too tight
You know how it hurts
You know what the pain will be worth
Every scar one day will heal
Every tear one day will dry
Every scar one day will heal
Every tear one day will dry
Every scar one day will heal
Every tear one day will dry
Every scar one day will heal
Every tear one day will dry

Why don't you fix me?
I can't help myself
Why don't you fix me?
You know I'm fading still
Why don't you fix me?
Don't you leave me here
Why don't you fix me?
I'm fading faster and faster

Why don't you fix me?
Why don't you fix me?"
Here We Are,Here We Are,Icon For Hire,"Why are we still sad
Why are we still sad
When we gonna wake up happy
When we gonna wake up happy, happy
Why are we still sick
Tell me what I'm missing in this
Why we gotta hurt so badly
Why we gotta hurt so badly, badly

Thought by now we would all be
All grown up, finally free
Living our lives, thought we'd fly

But here we are
Bruised and battle scarred
All our beating hearts
Here we are, here we are
Come this far
Fighting for our lives
Holding on tonight
Here we are, here we are
Here we are
Here we are

We’re not where we thought
But we’re still standing tall
What’s it gonna it to break us
What’s it gonna make us wake up

Thought my now we would all be
All grown up, finally  free
Living our lives, thought we'd fly

But here we are
Bruised and battle scarred
All our beating hearts
Here we are, here we are
Come this far
Fighting for our lives
Holding on tonight
Here we are, here we are
Here we are
Here we are

Didn’t think we’d get this far
Didn’t know if we’d survive
Odds against us, here we are
Can you believe we’re still alive?
Didn’t think we’d get this far
Didn’t know if we’d survive
Odds against us, here we are
Can you believe we’re still alive?

Here we are
Bruised and battle scarred
All our beating hearts
Here we are, here we are
Come this far
Fighting for our lives
Holding on tonight
Here we are, here we are
Here we are"
Seeds,Seeds,Icon For Hire,"They tried to bury us
They didn't know we were
Seeds
Seeds
Seeds
They didn't know we were
They didn't know we were

This been a rough start
Been a rough start
All the scummy feelings displaced
They keep us in the dark
Keep us in the dark
But I get this feeling it's about to change

While they've been pushing us low
We're making this grow
We know something they don't
Gonna reap what they sow

They tried to water us down
Just gave us what we need
Shoved us underground
It just sets us free

They tried to bury us
They didn't know we were
Seeds
Seeds
Seeds
They didn't know we were
They didn't know we were

From the ashes
From the mud
We just keep climbing on up
Started grass roots and now we're everywhere
Spreading like wild flowers
Spreading like wild flowers

While they've been pushing us low
We're making this grow
We know something they don't
Gonna reap what they sow

They tried to water us down
Just gave us what we need
Shoved us underground
It just sets us free

They tried to bury us
They didn't know we were
Seeds
Seeds
Seeds
They didn't know we were
They didn't know we were

We'll go up in flames
And down in history
As the ones who break through to find the sun
We'll go up in flames
And down in history
As the ones who break through to find the sun
We'll go up in flames
And down in flames
As the ones who break through to find the sun

Seeds
Seeds
Seeds
They didn't know we were
They didn't know we were
Seeds
Seeds
Seeds
They tried to bury us
They tried to bury us
They didn't know we were
They didn't know we were"
Slow Down,Slow Down,Icon For Hire,"Take me all the places that we used to go
The starlit city, our make-shift home
I'm not scared to hold your hand
On the streets of our own land

Slow down, just breathe
All we have is all we need
Slow down, just breathe
All we have is all we need

We don't have a dollar to our name you know
But you've never seen me smile this big before
(I am lost here, I am lost with you)
And I'm not scared to lose it all
When all I've got is beautiful
(I am lost here, I am lost with you)

Slow down, just breathe
All we have is all we need
Slow down, just breathe
All we have is all we need

Tomorrow holds no promises
Except the ones we've made
We'll go far with hearts like ours
'Til then we've got today
Tomorrow holds no promises
Except the ones we've made
We'll go far with hearts like ours
'Til then we've got today

Slow down, just breathe
All we have is all we need
Slow down, just breathe
All we have is all we need
Slow down, just breathe
All we are is all we dreamed

(I am lost here, I am lost with you)
And I'm not scared to lose it all
When all I've got is beautiful"
Fall Apart,Fall Apart,Icon For Hire,"I bet you didn't think that the more you'd try to kill us
The more we'd rise up, the more we'd wise up
I bet you got your hands full trying to dilute us
You've hit a brick wall, won't weaken out resolve
We've already given away
What you're trying to take, what you're trying to take
When you've died a thousand deaths, what's one more
We look you in the eyes and we say, and we say
Seize our families take our homes away
We don't fall apart, we don't fall apart
I guess you didn't think that so many were willing
To disown their lives, to say their goodbyes
I don't think you have any idea just what you're killing
We will walk on, we live on
He is no fool to give what he can't save
To gain the one thing that nobody can take
Though it may cost us everything
We look you in the eyes and we say
Seize our families take our homes away
We don't fall apart, we don't fall apart
Body after body to the grave
We don't fall apart, we don't fall apart
Death without love profits nothing
I must be still alive
(I must be still alive)
Seize our families take our homes away
We don't fall apart, we don't fall apart
Body after body to the grave
We don't fall apart, we don't fall apart"
Call Me Alive,Call Me Alive,Icon For Hire,"Come call me alive
Your heart carries mine
Don't leave me to die
Alright
VI:
I shouldn't have let them have me
Now it's to late for regrets
Will I ever learn
Or am I doomed to burn
I keep tasting it
I keep choking
Take my water, take my oxygen
They never could help me, I'm left just as empty tonight
VII:
I can't give in to madness
And let them numb me over
Wait to weaken me
Take me piece by piece
I'm poised for the kill
Don't dare swallow
Chorus:
Take my water, take my oxygen, They never could help me I'm left just as empty tonight
I will stop at nothing less than you
Ruined me, you've ruined me
Nothing else moves me
Bridge:
Promise me you'll hunt me down
Or it's torn for now
I have come unwound without falling
Promise me you won't back down
Come call me alive
Come call me alive"
Overture,Overture,Icon For Hire,
Carried Away,Carried Away,Icon For Hire,"(I won't be carried away, I say, I say...)
Yeah!
This is as weak as they come, this is as far as I'll run
I'm growing ill with the cure, you're just as hungry for more
I've exhausted all my caution
Breaking down is not an option
Haven't you had enough? Aren't you tired?
Well, this is where I draw the line
Haven't you had your fill of the empty?
Aren't you ready to sing, ""I won't be carried away""
Good grief and give it a rest, my struggle never relents
We'll never know what it costs, until we're too weak to stop
I've exhausted all my caution
Breaking down is not an option
Haven't you had enough? Aren't you tired?
Well, this is where I draw the line
Haven't you had your fill of the empty?
Aren't you ready to sing, ""I won't be carried away""
(I won't be carried away  I say, I say)
I won't be carried away! 
Haven't you had enough? Aren't you tired?
Well, this is where I draw the line
Haven't you had your fill of the empty?
Aren't you ready to sing, ""I won't be carried away"" (Carried away!)"
Theater,Theater,Icon For Hire,"My life is a musical, I know how to put on
A pretty pathetic show, I hide
Backstage, keep the curtains closed
'Cause I'm scared, I'm scared
I'm getting pretty good at feeding them
The lines they like but I don't
Recognize the girl I face each night
I can compromise till I'm convinced, it's right
What happened to the girl who could overlook the world?
She never gave a second to what the other people thought
What happened to the dream of rejecting the routine?
'Cause they never worked for me
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script
And scream every line like this is it
They say all the world's a stage
Rewriting your identity is all the rage
Well, next act please, I'd like a change
I don't really like pretending this way
What happened to the girl who could overlook the world?
She never gave a second to what the other people thought
What happened to the dream of rejecting the routine?
'Cause they never worked for me
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script
And scream every line like this is it
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script
And scream every line like this is it
And the sad thing is we're all in on the action
We're all holding our breath, waiting for a reaction
You play your part, I'll be playing with matches
And if you'd like a show, you can follow the ashes
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script
And scream every line like this is it
I'm gonna burn this theater down
And pray to God for the strength to help me face the crowd
I wanna live like I lost the script
And scream every line like this is it"
Pernilla,Pernilla,Icon For Hire,"VI
I can't help but close my eyes for life
And dream a different ending
When I wake I won't be so exhausted
And I'll stop with my pretending
That I'm fine; I'm fine if I can fool myself tonight
And my lie will drown out all of yours
VII
You will bleed for what your hands have done
You can't outrun your ending
And I'll get well long before you let yourself
I may forgive you but you never will
Chorus:
I will not bend until I break
How much can one bruised body take
Just not enough to silence me
You're only a memory
I'll scream these words 'till they come true
Then I will think no more of you
Look back on what I'm going through
This isn't my identity
Bridge:
And I told you, I told you
You had no right, how damaged you must be
Watch you panic, it's tragic, you'll carry this for life
You have my sympathy
This isn't my identity, you're only a memory...."
Last One Standing,Last One Standing,Icon For Hire,"They always come for the wild wants
They always come for the freaks
I don't think quite like be like you
And all they come for me
They always one of change me
They wanna make me weak
I don't keep quite like be like you
And all they come for me

An easy target, an easy mark
I high you think got caught this far
I turn the face you
 embrace you
Before I dead

I'll take this moment like I own it
Ain't seen the last of me
Cause I'm awake the last one standing
One through the fire
It takes me higher
Ain't seen the last of me
Cause I'm awake the last one standing

I won't let you kill me and I like you could
They say you only die one time and I'm make mine good
You think you got me corner
 don't know
You dead and got the best of me I save that  myself

An easy target, an easy mark
I high you think got caught this far
I turn the face you
 embrace you
Before I dead

I'll take this moment like I own it
Ain't seen the last of me
Cause I'm awake the last one standing
One through the fire
It takes me higher
Ain't seen the last of me
Cause I'm awake the last one standing

They always come for the wild wants
They always come for the freaks
They always come for the misfit
Like you like you and me
They always come for the wild wants
They always come for the freaks
They always come for the misfit
Like you like you and me

I'll take this moment like I own it
Ain't seen the last of me
Cause I'm awake the last one standing
One through the fire
It takes me higher
Ain't seen the last of me
Cause I'm awake the last one standing"
